date,FuelSale_tons_benzinkomponenten_insg,FuelSale_tons_benzinkomponenten_chemWeiterVera,FuelSale_tons_benzinkomponenten_luftfahrt,FuelSale_tons_benzinkomponenten_schifffahrt,FuelSale_tons_benzinkomponenten_militaer,FuelSale_tons_benzinkomponenten_sonstige
2001-01,0,0,0,0,0,0
2001-02,0,0,0,0,0,0
2001-03,0,0,0,0,0,0
2001-04,0,0,0,0,0,0
2001-05,0,0,0,0,0,0
2001-06,0,0,0,0,0,0
2001-07,0,0,0,0,0,0
2001-08,0,0,0,0,0,0
2001-09,0,0,0,0,0,0
2001-10,0,0,0,0,0,0
2001-11,0,0,0,0,0,0
2001-12,0,0,0,0,0,0
2002-01,0,0,0,0,0,0
2002-02,0,0,0,0,0,0
2002-03,0,0,0,0,0,0
2002-04,0,0,0,0,0,0
2002-05,0,0,0,0,0,0
2002-06,0,0,0,0,0,0
2002-07,0,0,0,0,0,0
2002-08,0,0,0,0,0,0
2002-09,0,0,0,0,0,0
2002-10,0,0,0,0,0,0
2002-11,0,0,0,0,0,0
2002-12,0,0,0,0,0,0
2003-01,0,0,0,0,0,0
2003-02,0,0,0,0,0,0
2003-03,0,0,0,0,0,0
2003-04,0,0,0,0,0,0
2003-05,0,0,0,0,0,0
2003-06,0,0,0,0,0,0
2003-07,0,0,0,0,0,0
2003-08,0,0,0,0,0,0
2003-09,0,0,0,0,0,0
2003-10,0,0,0,0,0,0
2003-11,0,0,0,0,0,0
2003-12,0,0,0,0,0,0
2004-01,0,0,0,0,0,0
2004-02,0,0,0,0,0,0
2004-03,0,0,0,0,0,0
2004-04,0,0,0,0,0,0
2004-05,0,0,0,0,0,0
2004-06,0,0,0,0,0,0
2004-07,0,0,0,0,0,0
2004-08,0,0,0,0,0,0
2004-09,0,0,0,0,0,0
2004-10,0,0,0,0,0,0
2004-11,0,0,0,0,0,0
2004-12,0,0,0,0,0,0
2005-01,0,0,0,0,0,0
2005-02,0,0,0,0,0,0
2005-03,0,0,0,0,0,0
2005-04,0,0,0,0,0,0
2005-05,0,0,0,0,0,0
2005-06,0,0,0,0,0,0
2005-07,0,0,0,0,0,0
2005-08,0,0,0,0,0,0
2005-09,0,0,0,0,0,0
2005-10,0,0,0,0,0,0
2005-11,0,0,0,0,0,0
2005-12,0,0,0,0,0,0
2006-01,0,0,0,0,0,0
2006-02,0,0,0,0,0,0
2006-03,0,0,0,0,0,0
2006-04,0,0,0,0,0,0
2006-05,0,0,0,0,0,0
2006-06,0,0,0,0,0,0
